Date,Close,High,Low,Open,Volume,label,ticker
2022-01-07,329380.34375,334740.08307137573,328405.84569156804,329380.34375,787839,naver,035420.KS
2022-01-10,326456.90625,330842.1482742537,320609.91688432836,330354.89916044776,828611,naver,035420.KS
2022-01-11,326456.90625,335714.6394123134,325969.657136194,327431.40447761194,805084,naver,035420.KS
2022-01-12,336689.125,343510.61233719246,330842.13585383503,330842.13585383503,1047713,naver,035420.KS
2022-01-13,339125.34375,343023.3362068965,335227.3512931034,339125.34375,677226,naver,035420.KS
2022-01-14,333278.375,333765.6240862573,326944.136878655,332303.8768274854,504907,naver,035420.KS
2022-01-17,334740.15625,337663.65106441046,330842.16316411935,331816.66143558954,418789,naver,035420.KS
2022-01-18,329380.34375,339125.32433431956,326944.09860392014,337663.5772466716,441573,naver,035420.KS
2022-01-19,324020.625,325482.3721804511,319635.3834586466,321584.3796992481,749338,naver,035420.KS
2022-01-20,326456.90625,327918.6535914179,318173.6713152985,322558.91333955224,695553,naver,035420.KS
2022-01-21,324507.90625,331816.64287725225,321584.4115990991,322071.66070758255,580928,naver,035420.KS
2022-01-24,320122.625,325482.36453576863,319148.12690258754,324507.86643835617,494977,naver,035420.KS
2022-01-25,313788.40625,323046.13873253105,309890.4136257764,321097.14242041926,799996,naver,035420.KS
2022-01-26,313788.40625,313788.40625,313788.40625,313788.40625,0,naver,035420.KS
2022-01-27,295272.96875,307454.19683374587,295272.96875,299170.9617367987,949565,naver,035420.KS
2022-01-28,302094.4375,303068.9356854839,289425.9610887097,289425.9610887097,974351,naver,035420.KS
2022-02-03,312326.625,317686.36427457095,311839.375975039,317199.11524961,884438,naver,035420.KS
2022-02-04,319148.15625,321097.1526240458,312813.91803435114,313301.16712786263,548945,naver,035420.KS
2022-02-07,318660.875,320609.87117737,312326.6374235474,320122.62213302753,492656,naver,035420.KS
2022-02-08,318660.875,318660.875,318660.875,318660.875,0,naver,035420.KS
2022-02-09,318660.875,318660.875,318660.875,318660.875,0,naver,035420.KS
2022-02-10,323046.1875,328893.17731900455,318173.6959841629,318173.6959841629,701866,naver,035420.KS
2022-02-11,319148.15625,322071.6508110687,315250.1635019084,318173.65806297713,450896,naver,035420.KS
2022-02-14,313788.40625,318660.8970302795,309890.4136257764,317686.3988742236,424845,naver,035420.KS
2022-02-15,310377.65625,317199.1432005495,307941.4109105181,316711.8941326531,335584,naver,035420.KS
2022-02-16,316224.65625,317199.1544202619,311839.41448382125,314275.6599094761,447832,naver,035420.KS
2022-02-17,316224.65625,319635.3998459168,310864.9163135593,316711.905335131,481773,naver,035420.KS
2022-02-18,309890.40625,311839.40251572325,307454.1609178459,311352.15344929247,549382,naver,035420.KS
2022-02-21,309890.40625,309890.40625,309890.40625,309890.40625,0,naver,035420.KS
2022-02-22,309890.40625,309890.40625,309890.40625,309890.40625,0,naver,035420.KS
2022-02-23,309890.40625,309890.40625,309890.40625,309890.40625,0,naver,035420.KS
2022-02-24,294785.6875,298196.43099173554,292349.44214876037,297221.9328512397,666538,naver,035420.KS
2022-02-25,306479.65625,309403.150586248,297221.9241852146,300145.41852146265,857872,naver,035420.KS
2022-02-28,306479.65625,306479.65625,306479.65625,306479.65625,0,naver,035420.KS
2022-03-02,308915.875,311352.1200709779,304043.38485804416,310864.8710567823,546099,naver,035420.KS
2022-03-03,317199.125,318660.87211981567,310377.6384408602,310864.88748079876,580888,naver,035420.KS
2022-03-04,317199.125,317199.125,317199.125,317199.125,0,naver,035420.KS
2022-03-07,299170.9375,301607.1829193811,297221.94116449513,301119.93383550487,535033,naver,035420.KS
2022-03-08,296734.6875,301607.1782635468,293811.1930418719,294298.4421182266,559921,naver,035420.KS
2022-03-10,296734.6875,296734.6875,296734.6875,296734.6875,0,naver,035420.KS
2022-03-11,296734.6875,296734.6875,296734.6875,296734.6875,0,naver,035420.KS
2022-03-14,320609.90625,329380.3900075988,316711.913468845,320122.65715235565,679812,naver,035420.KS
2022-03-15,320609.90625,320609.90625,320609.90625,320609.90625,0,naver,035420.KS
2022-03-16,320609.90625,320609.90625,320609.90625,320609.90625,0,naver,035420.KS
2022-03-17,320609.90625,320609.90625,320609.90625,320609.90625,0,naver,035420.KS
2022-03-18,335714.625,337663.62137155293,332791.13044267055,336201.8740928882,722326,naver,035420.KS
2022-03-21,335714.625,335714.625,335714.625,335714.625,0,naver,035420.KS
2022-03-22,330842.125,332303.87223858613,327431.38144329895,331329.37407952873,301259,naver,035420.KS
2022-03-23,336689.125,338638.121382055,332791.13223589,334252.87952243123,504911,naver,035420.KS
2022-03-24,331329.375,333278.3713235294,326456.88419117645,330842.12591911765,528012,naver,035420.KS
2022-03-25,324507.90625,331329.39376876876,324020.6571415165,330842.14466028527,559026,naver,035420.KS
2022-03-28,323046.1875,324020.6858031674,315737.45022624434,321097.19089366513,356589,naver,035420.KS
2022-03-29,325482.375,329380.3675149701,323533.378742515,325969.6240643713,323767,naver,035420.KS
2022-03-30,330354.875,333278.3694690265,328405.8786873156,333278.3694690265,454373,naver,035420.KS
2022-03-31,331816.625,333278.37224669603,329867.62867107196,332791.123164464,427064,naver,035420.KS
2022-04-01,326944.125,331816.615685544,326944.125,331329.36661698954,446987,naver,035420.KS
